# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
Stats,FRONTEND,,,0,2,8000,328,133939,24175120,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,0,0,3,,,,0,328,0,0,0,0,,0,3,328,,,
Stats,BACKEND,0,0,0,0,8000,0,133939,24175120,0,0,,0,0,0,0,UP,0,0,0,,0,5802,0,,1,1,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
horizon,FRONTEND,,,0,1,8000,1,163,540,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,1,,,,0,0,1,0,0,0,,0,1,1,,,
horizon,node-1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,2,1,,0,,2,0,,0,L7OK,301,0,0,0,0,0,0,0,0,,,,0,0,
horizon,node-2,0,0,0,1,,1,163,540,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,2,2,,1,,2,0,,1,L7OK,301,2,0,0,1,0,0,0,0,,,,0,0,
horizon,node-3,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,1,4226,1574,,1,2,3,,0,,2,0,,0,L7OK,301,2,0,0,0,0,0,0,0,,,,0,0,
horizon,BACKEND,0,0,0,1,8000,1,163,540,0,0,,0,0,0,0,UP,3,3,0,,0,5802,0,,1,2,0,,1,,1,0,,1,,,,0,0,1,0,0,0,,,,,0,0,
keystone-1,FRONTEND,,,0,1,8000,4,1195,13918,0,0,0,,,,,OPEN,,,,,,,,,1,3,0,,,,0,0,0,1,,,,0,4,0,0,0,0,,0,1,4,,,
keystone-1,node-1,0,0,0,1,,2,601,6972,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,3,1,,2,,2,0,,1,L4OK,,0,0,2,0,0,0,0,0,,,,0,0,
keystone-1,node-2,0,0,0,1,,1,297,3473,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,3,2,,1,,2,0,,1,L4OK,,0,0,1,0,0,0,0,0,,,,0,0,
keystone-1,node-3,0,0,0,1,,1,297,3473,,0,,0,0,0,0,UP,1,1,0,0,1,4415,1385,,1,3,3,,1,,2,0,,1,L4OK,,1,0,1,0,0,0,0,0,,,,0,0,
keystone-1,BACKEND,0,0,0,1,8000,4,1195,13918,0,0,,0,0,0,0,UP,3,3,0,,0,5802,0,,1,3,0,,4,,1,0,,1,,,,0,4,0,0,0,0,,,,,0,0,
keystone-2,FRONTEND,,,0,1,8000,26,7374,64654,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,6,,,,0,19,7,0,0,0,,0,6,26,,,
keystone-2,node-1,0,0,0,1,,9,2430,22743,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,4,1,,9,,2,0,,2,L4OK,,0,0,8,1,0,0,0,0,,,,0,0,
keystone-2,node-2,0,0,0,1,,9,2160,13945,,0,,0,0,0,0,UP,1,1,0,0,0,5802,0,,1,4,2,,9,,2,0,,2,L4OK,,1,0,3,6,0,0,0,0,,,,0,0,
keystone-2,node-3,0,0,0,1,,8,2784,27966,,0,,0,0,0,0,UP,1,1,0,0,1,4415,1384,,1,4,3,,8,,2,0,,2,L4OK,,1,0,8,0,0,0,0,0,,,,0,0,
keystone-2,BACKEND,0,0,0,1,8000,26,7374,64654,0,0,,0,0,0,0,UP,3,3,0,,0,5802,0,,1,4,0,,26,,1,0,,6,,,,0,19,7,0,0,0,,,,,0,0,
nova-api-1,FRONTEND,,,0,0,8000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,5,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,
